gene_id,24C,24N,27C,27N,29C,29N,30C,30N,31C,31N,32C,32N,33C,33N,34C,34N,35c,35N,36C,36N,37C,37N,38C,38N,39C,39N,41C,41N,42C,42N,43C,43N,46C,46N,47C,47N,49C,49N,50C,50N,51C,51N,53C,53N
ENSG00000000003,9896,6279,5653,4198,4264,7829,4846,6312,16118,3558,6336,8094,5395,6596,9108,5756,8792,4015,13686,6034,14557,5553,9454,5137,6273,3888,7579,5500,8071,2930,5854,6528,13105,5678,16127,5299,12874,5021,7507,1871,2408,3605,12526,2766
ENSG00000000005,32,49,40,43,1,22,6,117,77,13,67,62,7,32,9,31,79,35,490,42,373,21,159,76,21,8,103,25,64,17,26,43,65,27,31,458,60,90,12,618,3,72,164,8
ENSG00000000419,5129,2406,3549,2052,2396,3535,2875,1875,7038,1798,5209,2458,2562,1911,3112,1636,3174,1965,6346,1375,22661,1754,7206,1759,4295,1512,7784,1598,4008,1827,2756,1466,4216,1910,14500,1997,14684,1752,2948,1266,2015,1810,8734,1271
ENSG00000000457,929,1288,522,649,946,787,695,1195,778,889,660,1218,784,668,1379,1104,586,652,512,732,948,776,494,865,650,412,932,968,787,642,871,689,1373,937,541,1025,1083,840,599,381,837,895,1159,664
ENSG00000000460,952,315,191,182,409,162,545,193,391,177,712,143,252,81,775,136,640,194,377,119,1243,256,384,118,610,70,1031,134,606,73,168,96,706,125,632,89,1232,179,600,44,555,109,1009,140
ENSG00000000938,305,255,257,176,418,87,332,126,528,288,236,185,1126,287,91,155,57,222,131,89,151,121,250,95,111,262,336,216,207,94,35,220,261,219,414,1761,1054,212,53,7810,618,300,158,86
ENSG00000000971,4702,4027,2058,4085,1975,1288,1268,1766,1978,4551,1756,2362,3652,1760,744,1984,941,6122,734,3659,694,3065,306,2836,609,2962,2233,3739,1560,1634,447,3967,1786,6537,541,2063,2892,4165,310,2845,2616,2701,1191,2035
ENSG00000001036,5206,2760,3035,2526,2640,2574,1940,2352,3652,1893,3497,3040,3021,3203,3654,2288,2768,2354,2385,1722,3216,1923,3084,2749,2662,1766,4509,2404,3289,1932,2365,1915,4824,2320,4523,3241,4394,2366,3291,1758,3612,2925,3596,1605
ENSG00000001084,2857,2295,1548,1608,2473,853,1502,2550,2233,2107,2725,2431,1700,2539,2834,1476,2324,1862,3156,1391,2460,1193,922,2259,1618,1212,3011,2859,2158,1931,1932,1509,3144,1717,3107,3148,3397,2916,2075,1484,2739,2680,2597,1020
ENSG00000001167,2996,1673,1073,1215,1581,934,1039,1242,2590,1037,1578,1213,1309,982,2117,973,1450,1057,1555,730,1565,1009,950,1083,1430,624,2132,1130,2119,1023,1550,768,2719,1287,2553,1238,3204,1136,1507,1294,1530,1066,1786,780
