rank,gene_id,protein_id,protein_name,log2_fold_change,fold_change,p_value,cellular_location,immunogenicity_score,combined_score
1,ENSG00000185269,ENSP00000185269,NOTUM protein,8.86,466.26,1.712e-03,secreted,0.7899999999999999,186.881
2,ENSG00000214039,ENSP00000214039,ENSG00000214039 protein,8.79,441.13,7.234e-05,unknown,0.1,176.763
3,ENSG00000163735,ENSP00000163735,CXCL5 protein,8.10,274.18,2.977e-02,secreted,0.7499999999999999,110.037
4,ENSG00000165376,ENSP00000165376,CLDN2 protein,8.08,270.32,2.270e-03,membrane,0.91,108.520
5,ENSG00000167755,ENSP00000167755,KLK6 protein,7.84,229.16,1.268e-02,nucleus,0.64,92.024
6,ENSG00000172016,ENSP00000172016,REG3A protein,7.62,196.97,1.618e-02,secreted,0.85,79.168
7,ENSG00000249550,ENSP00000249550,ENSG00000249550 protein,7.60,194.09,9.760e-04,unknown,0.1,77.944
8,ENSG00000249306,ENSP00000249306,ENSG00000249306 protein,7.47,176.82,2.503e-02,unknown,0.1,71.031
9,ENSG00000198842,ENSP00000198842,STYXL2 protein,7.45,174.90,1.026e-02,cytoplasm,0.62,70.319
10,ENSG00000230316,ENSP00000230316,ENSG00000230316 protein,7.28,155.35,5.432e-04,unknown,0.1,62.449
11,ENSG00000164379,ENSP00000164379,ENSG00000164379 protein,7.10,136.77,8.978e-06,unknown,0.1,55.019
12,ENSG00000171759,ENSP00000171759,PAH protein,7.00,128.33,5.885e-04,cytoplasm,0.62,51.692
13,ENSG00000170231,ENSP00000170231,FABP6 protein,6.90,119.07,5.960e-05,cytoplasm,0.6799999999999999,47.998
14,ENSG00000204869,ENSP00000204869,IGFL4 protein,6.88,118.07,6.865e-03,secreted,0.8499999999999999,47.613
15,ENSG00000115386,ENSP00000115386,REG1A protein,6.84,114.80,3.854e-02,secreted,0.87,46.297
16,ENSG00000015413,ENSP00000015413,DPEP1 protein,6.76,108.12,1.387e-05,membrane,1,43.649
17,ENSG00000251095,ENSP00000251095,ENSG00000251095 protein,6.64,99.93,8.353e-03,unknown,0.1,40.278
18,ENSG00000276122,ENSP00000276122,ENSG00000276122 protein,6.62,98.09,2.696e-02,unknown,0.1,39.537
19,ENSG00000164822,ENSP00000164822,DEFA6 protein,6.61,97.43,4.160e-03,membrane,1,39.372
20,ENSG00000137673,ENSP00000137673,MMP7 protein,6.57,94.73,1.374e-04,secreted,0.7899999999999999,38.271
21,ENSG00000108244,ENSP00000108244,KRT23 protein,6.56,94.58,1.998e-03,cytoplasm,0.82,38.212
22,ENSG00000228742,ENSP00000228742,ENSG00000228742 protein,6.43,86.15,4.541e-04,unknown,0.1,34.771
23,ENSG00000231764,ENSP00000231764,ENSG00000231764 protein,6.40,84.69,2.211e-02,unknown,0.1,34.180
24,ENSG00000170835,ENSP00000170835,CEL protein,6.38,83.32,1.566e-02,secreted,0.7,33.693
25,ENSG00000164283,ENSP00000164283,ESM1 protein,6.36,82.41,9.630e-05,secreted,0.87,33.351
26,ENSG00000168065,ENSP00000168065,SLC22A11 protein,6.36,82.41,2.319e-03,membrane,0.87,33.350
27,ENSG00000168875,ENSP00000168875,SOX14 protein,6.36,82.00,8.423e-03,nucleus,0.6200000000000001,33.159
28,ENSG00000175832,ENSP00000175832,ETV4 protein,6.34,81.21,7.544e-08,nucleus,0.58,32.841
29,ENSG00000159263,ENSP00000159263,SIM2 protein,6.34,80.77,4.499e-04,nucleus,0.65,32.673
30,ENSG00000244355,ENSP00000244355,LY6G6D protein,6.29,78.29,1.627e-04,membrane,0.97,31.711
31,ENSG00000164816,ENSP00000164816,DEFA5 protein,6.19,73.16,2.284e-02,membrane,1,29.659
32,ENSG00000281406,ENSP00000281406,ENSG00000281406 protein,6.18,72.46,3.760e-05,unknown,0.1,29.294
33,ENSG00000251026,ENSP00000251026,ENSG00000251026 protein,6.05,66.09,5.127e-04,unknown,0.05,26.741
34,ENSG00000233532,ENSP00000233532,ENSG00000233532 protein,6.01,64.61,3.860e-06,unknown,0.1,26.152
35,ENSG00000242575,ENSP00000242575,ENSG00000242575 protein,6.01,64.48,1.516e-03,unknown,0.05,26.096
36,ENSG00000137868,ENSP00000137868,STRA6 protein,5.88,59.03,1.143e-02,membrane,0.87,23.995
37,ENSG00000231172,ENSP00000231172,ENSG00000231172 protein,5.87,58.35,4.694e-03,unknown,0.05,23.643
38,ENSG00000226320,ENSP00000226320,ENSG00000226320 protein,5.86,57.95,1.261e-04,unknown,0.1,23.488
39,ENSG00000162344,ENSP00000162344,FGF19 protein,5.84,57.12,2.748e-03,secreted,0.82,23.229
40,ENSG00000060718,ENSP00000060718,COL11A1 protein,5.83,56.69,1.180e-02,secreted,0.7299999999999999,23.046
41,ENSG00000229404,ENSP00000229404,ENSG00000229404 protein,5.81,56.30,2.791e-04,unknown,0.1,22.828
42,ENSG00000164398,ENSP00000164398,ACSL6 protein,5.76,54.16,4.260e-04,membrane,0.96,22.061
43,ENSG00000172031,ENSP00000172031,EPHX4 protein,5.72,52.88,4.287e-06,membrane,0.87,21.540
44,ENSG00000182747,ENSP00000182747,SLC35D3 protein,5.72,52.82,2.309e-02,membrane,0.8999999999999999,21.511
45,ENSG00000111700,ENSP00000111700,SLCO1B3 protein,5.70,52.16,3.006e-03,membrane,0.95,21.258
46,ENSG00000213468,ENSP00000213468,ENSG00000213468 protein,5.70,51.85,4.555e-03,unknown,0.1,21.050
47,ENSG00000250641,ENSP00000250641,LY6G6F-LY6G6D protein,5.69,51.58,1.477e-04,membrane,0.97,21.030
48,ENSG00000134762,ENSP00000134762,DSC3 protein,5.63,49.56,7.208e-03,membrane,0.99,20.222
49,ENSG00000171560,ENSP00000171560,FGA protein,5.62,49.34,4.506e-02,secreted,0.66,20.090
50,ENSG00000006377,ENSP00000006377,DLX6 protein,5.59,48.16,8.219e-03,nucleus,0.53,19.615
51,ENSG00000178773,ENSP00000178773,CPNE7 protein,5.57,47.46,4.921e-04,membrane,0.87,19.369
52,ENSG00000062038,ENSP00000062038,CDH3 protein,5.50,45.28,4.254e-07,membrane,1,18.510
53,ENSG00000181577,ENSP00000181577,ENSG00000181577 protein,5.51,45.48,1.131e-05,unknown,0.1,18.504
54,ENSG00000101115,ENSP00000101115,SALL4 protein,5.47,44.41,9.793e-04,nucleus,0.67,18.129
55,ENSG00000236081,ENSP00000236081,ENSG00000236081 protein,5.45,43.69,2.574e-04,unknown,0.1,17.785
56,ENSG00000212993,ENSP00000212993,POU5F1B protein,5.44,43.52,3.734e-05,nucleus,0.6799999999999999,17.777
57,ENSG00000167767,ENSP00000167767,KRT80 protein,5.42,42.71,1.292e-04,cytoplasm,0.71,17.454
58,ENSG00000158296,ENSP00000158296,SLC13A3 protein,5.41,42.50,6.621e-05,membrane,1,17.399
