protein_id,protein_name,cellular_location,immunogenicity_score,base_score
ENSP00000000003,TSPAN6 protein,membrane,0.96,0.8099999999999999
ENSP00000000005,TNMD protein,nucleus,0.56,0.46
ENSP00000000419,DPM1 protein,membrane,0.98,0.83
ENSP00000000457,SCYL3 protein,membrane,1.0,0.9
ENSP00000000460,FIRRM protein,nucleus,0.59,0.49
ENSP00000000938,FGR protein,membrane,0.97,0.87
ENSP00000000971,CFH protein,secreted,0.7899999999999999,0.6399999999999999
ENSP00000001036,FUCA2 protein,secreted,0.91,0.76
ENSP00000001084,GCLC protein,cytoplasm,0.82,0.6699999999999999
ENSP00000001167,NFYA protein,nucleus,0.7100000000000001,0.56
ENSP00000001460,STPG1 protein,nucleus,0.64,0.54
ENSP00000001461,NIPAL3 protein,membrane,1.0,0.88
ENSP00000001497,LAS1L protein,nucleus,0.55,0.4
ENSP00000001561,ENPP4 protein,membrane,1.0,0.85
ENSP00000001617,SEMA3F protein,secreted,0.71,0.61
ENSP00000001626,CFTR protein,membrane,1.0,0.87
ENSP00000001629,ANKIB1 protein,cytoplasm,0.75,0.6
ENSP00000001630,CYP51A1 protein,membrane,0.95,0.85
ENSP00000001631,KRIT1 protein,membrane,1.0,0.91
ENSP00000002016,RAD52 protein,nucleus,0.61,0.51
ENSP00000002079,ENSG00000002079 protein,,0.05,0.0
ENSP00000002330,BAD protein,mitochondria,0.3799999999999999,0.2799999999999999
ENSP00000002549,LAP3 protein,cytoplasm,0.84,0.69
ENSP00000002586,CD99 protein,membrane,1.0,0.88
ENSP00000002587,HS3ST1 protein,membrane,0.97,0.87
ENSP00000002726,AOC1 protein,secreted,0.85,0.7
ENSP00000002745,WNT16 protein,secreted,0.75,0.6
ENSP00000002746,HECW1 protein,cytoplasm,0.61,0.5599999999999999
ENSP00000002822,MAD1L1 protein,nucleus,0.6100000000000001,0.56
ENSP00000002834,LASP1 protein,cytoplasm,0.65,0.5
ENSP00000002919,SNX11 protein,membrane,0.97,0.87
ENSP00000002933,TMEM176A protein,membrane,1.0,0.94
ENSP00000003056,M6PR protein,membrane,0.92,0.77
ENSP00000003096,KLHL13 protein,cytoplasm,0.63,0.53
ENSP00000003137,CYP26B1 protein,membrane,0.86,0.76
ENSP00000003147,ICA1 protein,membrane,0.91,0.76
ENSP00000003249,DBNDD1 protein,cytoplasm,0.63,0.53
ENSP00000003393,ALS2 protein,cytoplasm,0.64,0.54
ENSP00000003400,CASP10 protein,cytoplasm,0.71,0.5599999999999999
ENSP00000003402,CFLAR protein,cytoplasm,0.77,0.62
ENSP00000003436,TFPI protein,membrane,0.9199999999999999,0.82
ENSP00000003509,NDUFAF7 protein,mitochondria,0.44999999999999996,0.35
